,from,to,value,from_id,to_id
337,支部,平成,0.026197588156680607,38,72
338,卒業生,証明,0.06240361300099857,88,18
339,卒業生,大学,0.05174970679613135,88,63
340,卒業生,図書館,0.043911870920924224,88,194
341,卒業生,利用,0.04328168663316674,88,172
342,卒業生,卒業,0.03722996758893915,88,13
343,会員,登録,0.10502772401246623,50,54
344,会員,ログイン,0.06493656883814745,50,68
345,会員,パスワード,0.056610318847478636,50,206
346,会員,利用,0.047904639035305986,50,172
347,会員,ID,0.038079604370371604,50,161
348,電話,番号,0.05316349559342543,22,59
349,電話,公衆,0.04740329154130139,22,210
350,電話,au,0.0431648110302619,22,133
351,電話,NTT,0.042275339545424756,22,113
352,電話,問い合わせ,0.03595167293129382,22,65
353,魅力,月,0.026550252090551972,188,170
354,魅力,発信,0.0237648046308967,188,116
355,魅力,観光,0.02095174719111023,188,183
356,魅力,地域,0.018770399732867173,188,126
357,魅力,企業,0.01772377888631374,188,186
358,番号,郵便,0.14530431028378324,59,205
359,番号,一覧,0.08885217416412336,59,203
360,番号,ア,0.06585448150572373,59,159
361,番号,サ,0.06527056375320053,59,30
362,模試,?,0.06486058456490652,82,115
363,模試,',0.03706028133080596,82,69
364,模試,??,0.032817362027961205,82,99
365,模試,定額,0.028959273349300315,82,198
366,模試,円,0.028269920869150346,82,100
367,アカデミー,コース,0.042695879612791955,26,51
368,アカデミー,早稲田,0.038230229577603664,26,62
369,アカデミー,校舎,0.036623912876585965,26,91
370,アカデミー,模試,0.03610382567800636,26,82
371,アカデミー,イベント,0.0291188962678718,26,199
372,校舎,四谷,0.05403492055372917,91,177
373,校舎,大塚,0.051814721779613784,91,90
374,校舎,受験,0.043305505299562126,91,92
375,校舎,教室,0.04113057140724046,91,71
376,校舎,学校,0.03230837860167414,91,196
377,設置,ƒ,0.28399497675998386,14,179
378,設置,‚,0.08609951926040585,14,176
379,設置,–,0.041365932903608106,14,48
380,設置,€,0.02922862206959913,14,70
381,設置,š,0.028468612743965532,14,58
382,センター,支援,0.025919199875218794,204,111
383,センター,研究,0.024387679674789425,204,33
384,センター,平成,0.022384587301745723,204,72
385,センター,～,0.022046441886709227,204,158
386,センター,施設,0.020970344859858735,204,43
387,相談,行政,0.06372130885757284,75,81
388,相談,電話,0.03798435841855724,75,22
389,相談,月,0.03572523321630428,75,170
390,相談,年金,0.031475581344247175,75,101
391,相談,登記,0.028289325649913055,75,40
392,曜日,収集,0.09193565297224912,29,150
393,曜日,ごみ,0.08456488350515672,29,31
394,曜日,～,0.05766870889831015,29,158
395,曜日,資源,0.034538569665081904,29,44
396,曜日,月,0.022375798559498276,29,170
397,受付,診療,0.05438889581743085,55,114
398,受付,～,0.04273614532820733,55,158
399,受付,修理,0.04264803130990359,55,27
400,受付,予約,0.031061219827798477,55,145
401,受付,診察,0.030551606745007447,55,156
402,ポータルサイト,情報,0.04285102198148602,67,61
403,ポータルサイト,システム,0.019587323171434214,67,19
404,ポータルサイト,パスワード,0.01724809896691323,67,206
405,ポータルサイト,ログイン,0.017160247238992368,67,68
406,ポータルサイト,学生,0.017089821998464635,67,209
407,定款,法人,0.06533459406003075,12,147
408,定款,変更,0.041860868251230386,12,78
409,定款,事業,0.04162145627736241,12,140
410,定款,事務所,0.04036225914574551,12,125
411,定款,株式,0.03729722676224922,12,77
412,個人,情報,0.08268280892350949,15,61
413,個人,保護,0.07859721229097148,15,191
414,個人,方針,0.0306287594462853,15,168
415,個人,当社,0.026511971125327813,15,35
416,個人,お客,0.02643643106319753,15,37
417,方針,基本,0.05507866784062431,168,167
418,方針,平成,0.050349768766315334,168,72
419,方針,運営,0.03993492207906362,168,96
420,方針,施政,0.03117926429436378,168,157
421,方針,経営,0.03023783883547243,168,165
422,保護,個人,0.05654838624673069,191,15
423,保護,更生,0.05330216505263132,191,120
424,保護,生活,0.04343951839899358,191,212
425,保護,国民,0.033086284833357696,191,134
426,保護,月,0.031215110983132996,191,170
427,科学,研究,0.06452453302368862,207,33
428,科学,技術,0.06257641024421685,207,153
429,科学,月,0.02238486757286129,207,170
430,科学,財団,0.020391518440160947,207,137
431,科学,社会,0.019404388940118766,207,80
432,環境,対策,0.03423765829966546,178,79
433,環境,保全,0.03372141077086554,178,185
434,環境,地球,0.027326790501367732,178,213
435,環境,月,0.02715745963457617,178,170
436,環境,活動,0.025057928539775905,178,195
437,オープン,キャンパス,0.059065234402637445,39,124
438,オープン,掲載,0.03227757891652313,39,73
439,オープン,概要,0.02887381282845951,39,36
440,オープン,アセットマネジメント,0.027898369611143375,39,87
441,オープン,会社,0.025142045138022942,39,93
442,学科,教育,0.04323578454537043,53,83
443,学科,社会,0.041646782112048766,53,80
444,学科,専門,0.0321360357270796,53,74
445,学科,福祉,0.030243113859242922,53,28
446,学科,紹介,0.02881419234736272,53,171
